source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,rpgeo
5381997443875792512,173.81113838280123,-43.45131211058052,0.6963228512444957,19.0000706,15.9720888,16.3741608,15.4051266,0.969034195,1367.25305
1869029034042092288,312.53574851637256,33.160871503114144,0.4042025898207901,12.3140554,15.9355936,16.3691635,15.3348627,1.0343008,2279.04883
6763529681017311232,286.2754682140121,-27.1344585789622,0.225550116795591,10.1796389,14.3921833,14.9274721,13.6853638,1.24210835,3963.07739
1778316369797863552,332.8437876550079,20.18648056001004,5.070136900894271,103.792511,15.6891336,16.8196869,14.6281157,2.19157124,195.444901
6372896220681440000,304.08686175649694,-74.2243893896602,1.8239116222979244,35.312767,16.7606468,17.8129559,15.7477417,2.06521416,537.646179
5924485584684944128,262.42770340083393,-54.29947944609102,1.4117695771627787,55.748436,12.0683603,12.3769159,11.5965853,0.780330658,694.396912
823355645940327808,148.9098312970102,47.98408801828964,1.088795182636438,31.3441792,15.7467184,16.2236767,15.1028862,1.12079048,890.983093
5253972337207817728,157.27456085455623,-61.07824200255728,0.3838988941937946,30.5158272,13.4562378,14.2766647,12.5604439,1.71622086,2400.43945
6174155744452878976,210.2177856745517,-29.16526818257149,0.5852569044625316,11.4134455,16.1395264,16.5006466,15.604063,0.896583557,1666.79321
4191245867326648576,302.26261863243417,-10.146917411488625,0.9895141516812108,25.2420979,15.796442,16.3156185,15.1054678,1.21015072,970.632385
1146120170491882112,131.37424406317595,83.47929970090736,0.7728901544824844,48.7921791,14.4110279,14.7765398,13.8812971,0.895242691,1250.1676
1928925754586526976,342.6666638010517,39.09539878226438,0.4911205765078066,16.0544376,15.4033861,15.7462635,14.887537,0.858726501,1860.54272
996260996233917440,94.45800883293128,54.76524109996377,0.4357809581738452,31.1226711,12.5780735,13.2611542,11.7845116,1.47664261,2213.12842
2755429328081661696,3.1666400687042926,11.762965241610235,0.9148953292376056,60.1078415,12.3183603,12.8761816,11.6138411,1.26234055,1069.52673
5364566301929495296,159.60471087283932,-48.35110041407573,0.6193517243576415,10.4464216,16.8788681,17.448103,16.1597729,1.28833008,1527.08533
5499759051921771392,94.02670196371832,-54.7524620615546,1.7430348180428672,31.738203,17.3867435,18.6445274,16.2745342,2.36999321,548.399719
5780097069190418048,232.88540990345248,-77.23105111836412,0.7316525697669918,46.0442123,14.536521,14.9042044,13.9902592,0.913945198,1303.54651
5492975584874135808,117.02689503235896,-50.82255176021614,1.9164465214592143,23.6418667,17.6153355,18.8881454,16.5016537,2.38649178,510.454437
1871827222411376000,316.2584035985752,37.4715010623493,0.8953864650710555,25.916914,16.2585354,16.8123341,15.5592289,1.25310516,1094.59143
5371279198373914752,179.21342614843385,-48.250117280235045,0.8967632319964609,13.1487751,17.1685009,17.8346195,16.398941,1.43567848,1114.68384
4381986601890828928,255.7620984010329,2.048367020379008,0.7838107670465586,25.5046005,15.3540764,15.7969446,14.745142,1.05180264,1200.63257
6065798499884594560,206.81405951830664,-53.919604356601766,0.5008192288107363,15.4571829,15.8003387,16.3593102,15.0814724,1.27783775,1814.97571
3077848232321478912,127.50905443847444,1.268987227160399,2.960903325404985,12.2166739,18.8150711,20.2151947,17.6118202,2.60337448,359.542053
